anon_school,anon_class,anon_pid,p_D,p_A,p_S
SCH_004,CLS_0017,P002519,0.25241124878327054,0.30592113981644314,0.1767756988604863
SCH_004,CLS_0017,P002118,0.3989303211371104,0.4236302375793457,0.28550610939661664
SCH_004,CLS_0017,P007753,0.47900574405988056,0.4918796122074127,0.3618306368589401
SCH_004,CLS_0017,P003791,0.30977262556552887,0.35176587601502735,0.21230402092138922
SCH_004,CLS_0012,P002730,0.2521712630987167,0.30102649827798206,0.16729387020071343
SCH_004,CLS_0012,P002751,0.1478622034192085,0.21986956397692362,0.10302693148454024
SCH_004,CLS_0012,P006255,0.4611838658650716,0.4723457396030426,0.34546823302904767
SCH_004,CLS_0012,P000484,0.5071203410625458,0.5237886508305868,0.4117388923962911
SCH_004,CLS_0149,P007733,0.44792529940605164,0.472091277440389,0.3350917498270671
SCH_004,CLS_0149,P005119,0.4505742092927297,0.4782796303431193,0.34421966473261517
SCH_004,CLS_0149,P001771,0.2268098766605059,0.30436618129412335,0.16353682180245713
SCH_004,CLS_0149,P006050,0.43612202008565265,0.4616476595401764,0.3239002873500188
SCH_004,CLS_0218,P002944,0.38144516944885254,0.4188244640827179,0.27505322794119513
SCH_004,CLS_0218,P002387,0.5100290874640147,0.5224461952845255,0.3893359452486038
SCH_004,CLS_0051,P001221,0.5689505934715271,0.5751192768414816,0.44412001967430115
SCH_004,CLS_0051,P006602,0.3890740176041921,0.4212964077790578,0.2747659583886464
SCH_004,CLS_0068,P004817,0.0871824895342191,0.17103835443655646,0.07064029388129707
SCH_004,CLS_0068,P003277,0.6328689257303873,0.6242099603017172,0.5144518117109934
SCH_004,CLS_0068,P005907,0.4119815528392792,0.4273441235224406,0.28341031074523926
SCH_004,CLS_0068,P004176,0.24528959145148596,0.2845259755849838,0.17458845674991605
SCH_004,CLS_0068,P001774,0.7990067998568217,0.7827703754107157,0.7311673561731974
SCH_004,CLS_0007,P000107,0.5454166332880656,0.5579844812552134,0.43679867188135785
SCH_004,CLS_0007,P000075,0.28559873998165125,0.34153013428052265,0.19686143596967054
SCH_004,CLS_0007,P001326,0.5007846454779307,0.5070754289627075,0.3976355443398158
SCH_004,CLS_0007,P006546,0.2578602880239486,0.31099183360735577,0.17225909978151321
SCH_004,CLS_0007,P006961,0.4432171533505122,0.4627172648906708,0.3450332507491112
SCH_004,CLS_0208,P005026,0.574704130490621,0.5744983752568563,0.47170404593149823
